Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7,Gx,Gy,Gz,Ax,Ay,Az,Active
Sun May 14 14:59:02 2017,-1,0,-3,-1,0,-1,-1,0,-1,-0.1875,0.1875,0.390137,0.263672,0.855957,0
Sun May 14 14:59:02 2017,1,-1,-1,1,-2,0,-3,1,-1,-0.1875,0.1875,0.390137,0.263672,0.855957,0
Sun May 14 14:59:02 2017,1,-1,-1,1,-2,0,-3,1,-1,-0.1875,0.1875,0.390137,0.263672,0.855957,0
Sun May 14 14:59:02 2017,-1,-1,0,-1,-2,-1,-1,-1,-0.875,-0.125,0.625,0.387695,0.258301,0.857422,0
Sun May 14 14:59:02 2017,-1,-1,0,-1,-2,-1,-1,-1,-0.875,-0.125,0.625,0.387695,0.258301,0.857422,0
Sun May 14 14:59:02 2017,-1,-1,0,-1,-2,-1,-1,-1,-0.875,-0.125,0.625,0.387695,0.258301,0.857422,0
Sun May 14 14:59:02 2017,-1,0,-1,-2,-1,-2,0,-1,0.5,-0.3125,0.5625,0.39209,0.252441,0.864746,0
Sun May 14 14:59:02 2017,-1,0,-1,-2,-1,-2,0,-1,0.5,-0.3125,0.5625,0.39209,0.252441,0.864746,0
Sun May 14 14:59:02 2017,-1,0,-1,-2,-1,-2,0,-1,0.5,-0.3125,0.5625,0.39209,0.252441,0.864746,0
Sun May 14 14:59:02 2017,-1,0,-1,-2,-1,-2,0,-1,0.5,-0.3125,0.5625,0.39209,0.252441,0.864746,0
Sun May 14 14:59:02 2017,-1,0,-2,1,-2,-2,-2,-2,1.5625,-0.5625,0.5,0.396973,0.25293,0.859863,0
Sun May 14 14:59:02 2017,-1,0,-2,1,-2,-2,-2,-2,1.5625,-0.5625,0.5,0.396973,0.25293,0.859863,0
Sun May 14 14:59:02 2017,-2,-1,-1,2,-1,0,0,-1,1.5625,-0.5625,0.5,0.396973,0.25293,0.859863,0
Sun May 14 14:59:02 2017,-2,-1,-1,2,-1,0,0,-1,1.5625,-0.5625,0.5,0.396973,0.25293,0.859863,0
Sun May 14 14:59:02 2017,-1,0,0,-2,1,-1,-1,-1,1.25,-0.375,0.3125,0.397461,0.253418,0.856445,0
Sun May 14 14:59:02 2017,-1,0,0,-2,1,-1,-1,-1,1.25,-0.375,0.3125,0.397461,0.253418,0.856445,0
Sun May 14 14:59:02 2017,0,-4,-3,-3,-1,0,-1,-1,1.25,-0.375,0.3125,0.397461,0.253418,0.856445,0
Sun May 14 14:59:02 2017,-2,-1,-2,-3,-2,-1,-2,0,-0.125,-0.1875,0.25,0.39502,0.252441,0.856934,0
Sun May 14 14:59:02 2017,-2,-1,-2,-3,-2,-1,-2,0,-0.125,-0.1875,0.25,0.39502,0.252441,0.856934,0
Sun May 14 14:59:02 2017,-2,-1,-2,-3,-2,-1,-2,0,-0.125,-0.1875,0.25,0.39502,0.252441,0.856934,0
Sun May 14 14:59:02 2017,-2,-2,-1,-2,1,-1,0,-2,-0.75,0.0625,0,0.385742,0.247559,0.85791,0
Sun May 14 14:59:02 2017,-2,-2,-1,-2,1,-1,0,-2,-0.75,0.0625,0,0.385742,0.247559,0.85791,0
Sun May 14 14:59:02 2017,-2,-2,-1,-2,1,-1,0,-2,-0.75,0.0625,0,0.385742,0.247559,0.85791,0
Sun May 14 14:59:02 2017,1,0,-1,0,-1,-1,-3,0,-0.75,0.0625,0,0.385742,0.247559,0.85791,0
Sun May 14 14:59:02 2017,-2,-2,-1,-1,0,-2,-1,-2,-0.6875,-0.125,0.0625,0.38623,0.245605,0.85498,0
Sun May 14 14:59:02 2017,-2,-2,-1,-1,0,-2,-1,-2,-0.6875,-0.125,0.0625,0.38623,0.245605,0.85498,0
Sun May 14 14:59:02 2017,-2,-2,-1,-1,0,-2,-1,-2,-0.6875,-0.125,0.0625,0.38623,0.245605,0.85498,0
Sun May 14 14:59:02 2017,-2,-2,-1,1,-1,-2,-1,-2,-1,-0.4375,0.5625,0.388672,0.247559,0.859863,0
Sun May 14 14:59:02 2017,-2,-2,-1,1,-1,-2,-1,-2,-1,-0.4375,0.5625,0.388672,0.247559,0.859863,0
Sun May 14 14:59:02 2017,-2,-2,-1,1,-1,-2,-1,-2,-1,-0.4375,0.5625,0.388672,0.247559,0.859863,0
Sun May 14 14:59:02 2017,-2,-2,-1,1,-1,-2,-1,-2,-1,-0.4375,0.5625,0.388672,0.247559,0.859863,0
Sun May 14 14:59:02 2017,-1,-2,1,-2,-3,2,0,-1,-1.25,-0.6875,1.0625,0.391602,0.248047,0.856445,0
Sun May 14 14:59:02 2017,-1,-2,1,-2,-3,2,0,-1,-1.25,-0.6875,1.0625,0.391602,0.248047,0.856445,0
Sun May 14 14:59:02 2017,-2,-2,-1,-2,-2,0,0,-2,-1.25,-0.6875,1.0625,0.391602,0.248047,0.856445,0
Sun May 14 14:59:02 2017,-2,-2,-1,-2,-2,0,0,-2,-1.25,-0.6875,1.0625,0.391602,0.248047,0.856445,0
Sun May 14 14:59:02 2017,0,0,-3,0,0,0,-1,-1,-1.25,-0.6875,1.1875,0.39209,0.249023,0.864746,0
Sun May 14 14:59:02 2017,0,0,-3,0,0,0,-1,-1,-1.25,-0.6875,1.1875,0.39209,0.249023,0.864746,0
Sun May 14 14:59:02 2017,-2,-1,0,-1,-1,0,0,-1,-1.25,-0.6875,1.1875,0.39209,0.249023,0.864746,0
Sun May 14 14:59:02 2017,1,-1,-1,0,-1,-2,0,0,-1.1875,-0.8125,0.9375,0.397949,0.254395,0.86377,0
Sun May 14 14:59:02 2017,1,-1,-1,0,-1,-2,0,0,-1.1875,-0.8125,0.9375,0.397949,0.254395,0.86377,0
Sun May 14 14:59:02 2017,1,-1,-1,0,-1,-2,0,0,-1.1875,-0.8125,0.9375,0.397949,0.254395,0.86377,0
Sun May 14 14:59:02 2017,1,-2,1,-2,-1,-1,-3,0,-1.4375,-0.625,0.9375,0.401367,0.26123,0.85791,0
Sun May 14 14:59:02 2017,1,-2,1,-2,-1,-1,-3,0,-1.4375,-0.625,0.9375,0.401367,0.26123,0.85791,0
Sun May 14 14:59:02 2017,0,-1,0,-2,-1,-1,1,-2,-1.4375,-0.625,0.9375,0.401367,0.26123,0.85791,0
Sun May 14 14:59:02 2017,-2,-1,-3,-1,-2,-2,-2,-2,-1.4375,-0.625,0.9375,0.401367,0.26123,0.85791,0
Sun May 14 14:59:02 2017,-1,0,-2,-1,-1,-2,0,1,-1.6875,-0.5,0.875,0.408691,0.259766,0.851562,0
Sun May 14 14:59:02 2017,-1,0,-2,-1,-1,-2,0,1,-1.6875,-0.5,0.875,0.408691,0.259766,0.851562,0
Sun May 14 14:59:02 2017,-1,0,-2,-1,-1,-2,0,1,-1.6875,-0.5,0.875,0.408691,0.259766,0.851562,0
Sun May 14 14:59:02 2017,-2,0,-1,-1,-2,-1,-1,0,-3.625,-0.1875,0.625,0.406738,0.265137,0.855469,0
Sun May 14 14:59:02 2017,-2,0,-1,-1,-2,-1,-1,0,-3.625,-0.1875,0.625,0.406738,0.265137,0.855469,0
Sun May 14 14:59:02 2017,-2,0,-1,-1,-2,-1,-1,0,-3.625,-0.1875,0.625,0.406738,0.265137,0.855469,0
Sun May 14 14:59:02 2017,-2,-1,-2,-1,1,-1,-1,-1,-3.625,-0.1875,0.625,0.406738,0.265137,0.855469,0
Sun May 14 14:59:02 2017,-2,-2,-2,-1,0,0,-4,-2,-5.3125,0.625,0.4375,0.384277,0.25293,0.854004,0
Sun May 14 14:59:02 2017,-2,-2,-2,-1,0,0,-4,-2,-5.3125,0.625,0.4375,0.384277,0.25293,0.854004,0
Sun May 14 14:59:02 2017,0,-2,0,0,-3,-1,-2,-1,-5.3125,0.625,0.4375,0.384277,0.25293,0.854004,0
Sun May 14 14:59:02 2017,-1,0,-1,0,0,0,-3,-1,-5.875,0.625,0.375,0.375,0.239746,0.849609,0
Sun May 14 14:59:02 2017,-1,0,-1,0,0,0,-3,-1,-5.875,0.625,0.375,0.375,0.239746,0.849609,0
Sun May 14 14:59:02 2017,-1,0,-1,0,0,0,-3,-1,-5.875,0.625,0.375,0.375,0.239746,0.849609,0
Sun May 14 14:59:02 2017,-2,-3,0,-2,0,-1,0,-1,-5.75,0.0625,0.3125,0.374023,0.230469,0.856445,0
Sun May 14 14:59:02 2017,-2,-3,0,-2,0,-1,0,-1,-5.75,0.0625,0.3125,0.374023,0.230469,0.856445,0
Sun May 14 14:59:02 2017,-2,-3,0,-2,0,-1,0,-1,-5.75,0.0625,0.3125,0.374023,0.230469,0.856445,0
Sun May 14 14:59:02 2017,1,0,-1,-1,-2,-2,-3,0,-5.75,0.0625,0.3125,0.374023,0.230469,0.856445,0
Sun May 14 14:59:02 2017,3,-1,2,0,0,-1,2,4,-6.125,-0.75,-0.3125,0.379395,0.243164,0.855469,0
Sun May 14 14:59:02 2017,3,-1,2,0,0,-1,2,4,-6.125,-0.75,-0.3125,0.379395,0.243164,0.855469,0
Sun May 14 14:59:02 2017,-1,-2,-3,-1,-2,0,1,-3,-6.125,-0.75,-0.3125,0.379395,0.243164,0.855469,0
Sun May 14 14:59:02 2017,-3,0,-2,-1,-1,-1,-1,-3,-7.75,-0.8125,-0.125,0.377441,0.249023,0.859375,0
Sun May 14 14:59:02 2017,-3,0,-2,-1,-1,-1,-1,-3,-7.75,-0.8125,-0.125,0.377441,0.249023,0.859375,0
Sun May 14 14:59:02 2017,-3,0,-2,-1,-1,-1,-1,-3,-7.75,-0.8125,-0.125,0.377441,0.249023,0.859375,0
Sun May 14 14:59:02 2017,-2,-1,-4,-1,-2,-1,-2,-3,-9.1875,-0.6875,0.875,0.373535,0.239258,0.866211,0
Sun May 14 14:59:02 2017,-2,-1,-4,-1,-2,-1,-2,-3,-9.1875,-0.6875,0.875,0.373535,0.239258,0.866211,0
Sun May 14 14:59:02 2017,-2,-1,-4,-1,-2,-1,-2,-3,-9.1875,-0.6875,0.875,0.373535,0.239258,0.866211,0
Sun May 14 14:59:02 2017,-2,-1,-4,-1,-2,-1,-2,-3,-9.1875,-0.6875,0.875,0.373535,0.239258,0.866211,0
Sun May 14 14:59:02 2017,-1,0,-3,-1,-1,-3,-3,-3,-8.375,-1.75,1.4375,0.37207,0.233887,0.88623,0
Sun May 14 14:59:02 2017,-1,0,-3,-1,-1,-3,-3,-3,-8.375,-1.75,1.4375,0.37207,0.233887,0.88623,0
Sun May 14 14:59:02 2017,-1,0,-3,-1,-1,-3,-3,-3,-8.375,-1.75,1.4375,0.37207,0.233887,0.88623,0
Sun May 14 14:59:02 2017,-1,0,-3,-1,-1,-3,-3,-3,-8.375,-1.75,1.4375,0.37207,0.233887,0.88623,0
Sun May 14 14:59:02 2017,2,-1,-2,-1,-1,0,2,1,-6.9375,-3.25,0.5,0.390625,0.233887,0.881348,0
Sun May 14 14:59:02 2017,2,-1,-2,-1,-1,0,2,1,-6.9375,-3.25,0.5,0.390625,0.233887,0.881348,0
Sun May 14 14:59:02 2017,2,-1,-2,-1,-1,0,2,1,-6.9375,-3.25,0.5,0.390625,0.233887,0.881348,0
Sun May 14 14:59:02 2017,-1,1,1,-2,-1,-1,-1,-1,-4.5625,-3.5,0,0.411621,0.248047,0.873535,0
Sun May 14 14:59:02 2017,-1,1,1,-2,-1,-1,-1,-1,-4.5625,-3.5,0,0.411621,0.248047,0.873535,0
