Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7,Gx,Gy,Gz,Ax,Ay,Az,0
Sun May 14 15:03:02 2017,-1,0,0,-1,-2,0,-1,1,-1.0625,0.125,-1.25,0.223145,0.40918,0.862793,0
Sun May 14 15:03:02 2017,-1,0,0,-1,-2,0,-1,1,-1.0625,0.125,-1.25,0.223145,0.40918,0.862793,0
Sun May 14 15:03:02 2017,-1,0,0,-1,-2,0,-1,1,-1.0625,0.125,-1.25,0.223145,0.40918,0.862793,0
Sun May 14 15:03:02 2017,-1,0,0,-1,-2,0,-1,1,-1.0625,0.125,-1.25,0.223145,0.40918,0.862793,0
Sun May 14 15:03:02 2017,-1,-2,0,-1,1,-1,0,-1,-1.375,0.25,-1.125,0.21582,0.410156,0.859863,0
Sun May 14 15:03:02 2017,-1,-2,0,-1,1,-1,0,-1,-1.375,0.25,-1.125,0.21582,0.410156,0.859863,0
Sun May 14 15:03:02 2017,-1,-2,0,-1,1,-1,0,-1,-1.375,0.25,-1.125,0.21582,0.410156,0.859863,0
Sun May 14 15:03:02 2017,-1,-1,1,-1,0,0,-1,0,-0.9375,0.0625,-0.8125,0.216309,0.408691,0.864258,0
Sun May 14 15:03:02 2017,-1,-2,-1,-1,-1,0,-1,-1,-0.9375,0.0625,-0.8125,0.216309,0.408691,0.864258,0
Sun May 14 15:03:02 2017,-1,-2,-1,-1,-1,0,-1,-1,-0.9375,0.0625,-0.8125,0.216309,0.408691,0.864258,0
Sun May 14 15:03:02 2017,-1,-2,-1,-1,-1,0,-1,-1,-0.9375,0.0625,-0.8125,0.216309,0.408691,0.864258,0
Sun May 14 15:03:02 2017,-1,0,0,0,-1,-2,0,-2,-0.0625,-0.125,-0.5625,0.217285,0.40625,0.862305,0
Sun May 14 15:03:02 2017,-1,0,0,0,-1,-2,0,-2,-0.0625,-0.125,-0.5625,0.217285,0.40625,0.862305,0
Sun May 14 15:03:02 2017,-1,0,0,0,-1,-2,0,-2,-0.0625,-0.125,-0.5625,0.217285,0.40625,0.862305,0
Sun May 14 15:03:02 2017,-1,0,0,0,-1,-2,0,-2,-0.0625,-0.125,-0.5625,0.217285,0.40625,0.862305,0
