Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7,Gx,Gy,Gz,Ax,Ay,Az,Typing,Active
Sun May 14 15:08:54 2017,-3,-1,0,0,2,0,-8,-6,0.6875,-0.125,0.6875,0.178711,0.576172,0.776855,0,0
Sun May 14 15:08:54 2017,-1,1,-2,-2,-10,-4,13,3,1.25,-0.5625,0.25,0.178223,0.574219,0.775391,0,0
Sun May 14 15:08:54 2017,-1,1,-2,-2,-10,-4,13,3,1.25,-0.5625,0.25,0.178223,0.574219,0.775391,0,0
Sun May 14 15:08:54 2017,-1,1,-2,-2,-10,-4,13,3,1.25,-0.5625,0.25,0.178223,0.574219,0.775391,0,0
Sun May 14 15:08:54 2017,-1,1,-2,-2,-10,-4,13,3,1.25,-0.5625,0.25,0.178223,0.574219,0.775391,0,0
Sun May 14 15:08:54 2017,-2,0,-4,-4,-6,1,3,-1,2.0625,-0.875,0.125,0.178223,0.568848,0.761719,0,0
Sun May 14 15:08:54 2017,-2,0,-4,-4,-6,1,3,-1,2.0625,-0.875,0.125,0.178223,0.568848,0.761719,0,0
Sun May 14 15:08:54 2017,-2,0,-4,-4,-6,1,3,-1,2.0625,-0.875,0.125,0.178223,0.568848,0.761719,0,0
Sun May 14 15:08:54 2017,-1,-1,1,-3,-5,-8,-1,-3,2.375,-1.3125,-0.75,0.177246,0.572754,0.765137,0,0
Sun May 14 15:08:54 2017,1,0,1,1,8,1,29,3,2.375,-1.3125,-0.75,0.177246,0.572754,0.765137,0,0
Sun May 14 15:08:54 2017,1,0,1,1,8,1,29,3,2.375,-1.3125,-0.75,0.177246,0.572754,0.765137,0,0
Sun May 14 15:08:54 2017,-3,-1,0,1,9,1,-5,-7,2,-1.5,-1.4375,0.182129,0.577148,0.762207,0,0
Sun May 14 15:08:54 2017,-2,-2,1,0,5,7,6,1,2,-1.5,-1.4375,0.182129,0.577148,0.762207,0,0
