Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7,Gx,Gy,Gz,Ax,Ay,Az,Active
Sun May 14 14:39:28 2017,1,-1,-1,-2,-2,0,7,2,6.5,-2.375,-1.8125,-0.368652,0.346191,0.841309,0
Sun May 14 14:39:28 2017,1,-1,-1,-2,-2,0,7,2,6.5,-2.375,-1.8125,-0.368652,0.346191,0.841309,0
Sun May 14 14:39:28 2017,1,-1,-1,-2,-2,0,7,2,6.5,-2.375,-1.8125,-0.368652,0.346191,0.841309,0
Sun May 14 14:39:28 2017,1,-1,-1,-2,-2,0,7,2,6.5,-2.375,-1.8125,-0.368652,0.346191,0.841309,0
Sun May 14 14:39:29 2017,-1,15,2,0,4,7,-1,1,5.6875,-1.3125,-4.375,-0.368652,0.330078,0.813965,0
Sun May 14 14:39:29 2017,-1,15,2,0,4,7,-1,1,5.6875,-1.3125,-4.375,-0.368652,0.330078,0.813965,0
Sun May 14 14:39:29 2017,-3,5,-1,-2,-5,-7,-3,-7,5.6875,-1.3125,-4.375,-0.368652,0.330078,0.813965,0
Sun May 14 14:39:29 2017,-3,5,-1,-2,-5,-7,-3,-7,1.75,-1.25,-2.875,-0.354004,0.329102,0.796387,0
Sun May 14 14:39:29 2017,-3,5,-1,-2,-5,-7,-3,-7,1.75,-1.25,-2.875,-0.354004,0.329102,0.796387,0
Sun May 14 14:39:29 2017,-3,5,-1,-2,-5,-7,-3,-7,1.75,-1.25,-2.875,-0.354004,0.329102,0.796387,0
Sun May 14 14:39:29 2017,-1,-18,-8,-2,-1,2,-1,-3,-0.875,0.0625,-1.9375,-0.351562,0.324707,0.808105,0
Sun May 14 14:39:29 2017,-1,-18,-8,-2,-1,2,-1,-3,-0.875,0.0625,-1.9375,-0.351562,0.324707,0.808105,0
Sun May 14 14:39:29 2017,-1,-18,-8,-2,-1,2,-1,-3,-0.875,0.0625,-1.9375,-0.351562,0.324707,0.808105,0
Sun May 14 14:39:29 2017,-1,-18,-8,-2,-1,2,-1,-3,-0.875,0.0625,-1.9375,-0.351562,0.324707,0.808105,0
Sun May 14 14:39:29 2017,2,6,3,-2,-4,1,-1,-1,3.9375,0.9375,-2.75,-0.36084,0.32373,0.813477,0
Sun May 14 14:39:29 2017,2,6,3,-2,-4,1,-1,-1,3.9375,0.9375,-2.75,-0.36084,0.32373,0.813477,0
Sun May 14 14:39:29 2017,-4,-7,3,-2,-7,-9,-6,-7,3.9375,0.9375,-2.75,-0.36084,0.32373,0.813477,0
Sun May 14 14:39:29 2017,-4,-7,3,-2,-7,-9,-6,-7,3.9375,0.9375,-2.75,-0.36084,0.32373,0.813477,0
Sun May 14 14:39:29 2017,-2,-7,-2,0,2,0,2,-1,2.375,0.125,-2.6875,-0.346191,0.339355,0.802734,0
Sun May 14 14:39:29 2017,-2,-7,-2,0,2,0,2,-1,2.375,0.125,-2.6875,-0.346191,0.339355,0.802734,0
Sun May 14 14:39:29 2017,-4,-5,0,-1,1,0,-2,-3,2.375,0.125,-2.6875,-0.346191,0.339355,0.802734,0
Sun May 14 14:39:29 2017,-4,-5,0,-1,1,0,-2,-3,-1.625,1.4375,-5.5,-0.344727,0.375488,0.809082,0
Sun May 14 14:39:29 2017,-4,-5,0,-1,1,0,-2,-3,-1.625,1.4375,-5.5,-0.344727,0.375488,0.809082,0
Sun May 14 14:39:29 2017,-4,-5,0,-1,1,0,-2,-3,-1.625,1.4375,-5.5,-0.344727,0.375488,0.809082,0
Sun May 14 14:39:29 2017,-5,-16,-2,-4,-3,-4,-2,-4,-7.625,2.875,-3.3125,-0.352539,0.382812,0.803711,0
Sun May 14 14:39:29 2017,-5,-16,-2,-4,-3,-4,-2,-4,-7.625,2.875,-3.3125,-0.352539,0.382812,0.803711,0
