Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7
Sat Mar 25 22:04:38 2017,2,-32,4,-6,-6,-5,-3,-6
Sat Mar 25 22:04:38 2017,-1,3,64,47,11,3,1,-3
Sat Mar 25 22:04:38 2017,-7,-10,-27,-23,-7,0,0,-2
Sat Mar 25 22:04:38 2017,-7,-9,-19,-9,-3,-2,-1,-4
Sat Mar 25 22:04:38 2017,-9,16,7,-1,-1,2,5,2
Sat Mar 25 22:04:38 2017,5,-26,-18,-9,-3,1,2,1
Sat Mar 25 22:04:38 2017,-4,-8,69,0,-21,-13,-12,-4
Sat Mar 25 22:04:38 2017,5,7,-1,1,11,15,13,4
Sat Mar 25 22:04:38 2017,-35,-37,-23,-9,-6,-12,-18,-31
Sat Mar 25 22:04:38 2017,0,-28,8,8,11,8,4,2
Sat Mar 25 22:04:38 2017,2,36,33,-9,-10,-1,-1,5
Sat Mar 25 22:04:38 2017,-24,-30,2,-4,-6,-9,-29,-17
Sat Mar 25 22:04:38 2017,-1,39,21,6,-7,-3,-7,8
Sat Mar 25 22:04:38 2017,-14,-14,23,5,4,5,0,-7
Sat Mar 25 22:04:38 2017,4,8,1,-3,-7,-9,-14,-3
Sat Mar 25 22:04:38 2017,18,-21,-49,-33,-8,-6,-8,10
Sat Mar 25 22:04:38 2017,8,5,-30,-3,-8,-5,4,-6
Sat Mar 25 22:04:38 2017,13,-1,16,14,1,-1,7,20
Sat Mar 25 22:04:38 2017,-12,-7,7,3,3,3,4,-3
Sat Mar 25 22:04:39 2017,-9,2,26,7,-3,-7,-11,-19
Sat Mar 25 22:04:39 2017,-2,-33,67,78,-1,-4,1,-2
Sat Mar 25 22:04:39 2017,-5,-7,-10,-1,-7,-10,-4,-7
Sat Mar 25 22:04:39 2017,18,8,-23,-6,10,1,9,34
Sat Mar 25 22:04:39 2017,12,54,8,9,-4,-7,-2,-3
Sat Mar 25 22:04:39 2017,12,-98,-19,8,7,9,10,4
Sat Mar 25 22:04:39 2017,-20,-23,11,-12,-7,-5,-3,3
Sat Mar 25 22:04:39 2017,-10,5,-61,-42,-13,3,7,-5
Sat Mar 25 22:04:39 2017,0,18,3,-1,-8,-9,-3,-6
Sat Mar 25 22:04:39 2017,-5,60,37,7,6,4,6,11
Sat Mar 25 22:04:39 2017,0,-22,21,0,1,0,-21,-7
Sat Mar 25 22:04:39 2017,3,-27,59,1,-6,3,-14,-14
Sat Mar 25 22:04:39 2017,13,-56,-55,-8,2,-2,2,8
Sat Mar 25 22:04:39 2017,3,-10,-14,-8,-6,-12,-18,-1
Sat Mar 25 22:04:39 2017,-13,-8,-39,-36,-3,4,12,-1
Sat Mar 25 22:04:39 2017,-4,-63,25,26,1,2,6,-1
Sat Mar 25 22:04:39 2017,9,3,9,3,-1,-1,9,7
Sat Mar 25 22:04:39 2017,-11,28,7,4,-1,-7,-28,-5
Sat Mar 25 22:04:39 2017,7,39,-15,-6,7,2,6,30
Sat Mar 25 22:04:39 2017,-11,-13,-32,-27,-4,-8,-12,-10
Sat Mar 25 22:04:40 2017,3,-24,-20,15,3,4,9,20
Sat Mar 25 22:04:40 2017,-12,8,6,-14,-10,-10,-54,-53
Sat Mar 25 22:04:40 2017,14,-12,4,-9,1,6,28,21
Sat Mar 25 22:04:40 2017,20,22,29,20,16,9,21,34
Sat Mar 25 22:04:40 2017,3,-12,-53,-42,-12,-8,0,3
Sat Mar 25 22:04:40 2017,14,-26,3,9,1,0,-14,19
Sat Mar 25 22:04:40 2017,10,-7,-24,-9,-6,-2,8,13
Sat Mar 25 22:04:40 2017,-1,-25,-31,-8,0,-3,-3,10
Sat Mar 25 22:04:40 2017,-21,-2,-78,-49,-23,-18,-24,-18
Sat Mar 25 22:04:40 2017,5,-6,11,-10,-7,1,17,3
Sat Mar 25 22:04:40 2017,-2,4,-6,-1,-10,-2,2,1
Sat Mar 25 22:04:40 2017,-5,-20,3,6,1,-1,-1,-3
Sat Mar 25 22:04:40 2017,-27,-13,64,40,13,8,-11,-9
Sat Mar 25 22:04:40 2017,20,15,15,16,1,-2,9,17
Sat Mar 25 22:04:40 2017,2,-1,-13,1,0,-1,3,4
Sat Mar 25 22:04:40 2017,-12,-83,-22,-13,-5,-10,26,23
Sat Mar 25 22:04:40 2017,-8,4,-22,-18,-10,-2,4,2
Sat Mar 25 22:04:40 2017,3,17,38,18,0,0,-1,3
Sat Mar 25 22:04:40 2017,-17,-9,-43,-1,-7,-5,-3,-13
Sat Mar 25 22:04:41 2017,-24,23,66,34,3,6,-20,-40
Sat Mar 25 22:04:41 2017,-17,-12,-52,-19,-1,0,9,15
Sat Mar 25 22:04:41 2017,-12,2,95,59,3,-5,10,-17
Sat Mar 25 22:04:41 2017,14,14,24,41,10,3,4,4
Sat Mar 25 22:04:41 2017,-44,-115,-111,-51,-13,-5,-9,-28
Sat Mar 25 22:04:41 2017,-15,5,-16,8,4,-6,-28,-56
Sat Mar 25 22:04:41 2017,0,-4,2,4,-9,-29,-74,-45
Sat Mar 25 22:04:41 2017,5,0,28,13,1,-8,-17,8
Sat Mar 25 22:04:41 2017,20,25,-60,-10,-9,-4,8,28
Sat Mar 25 22:04:41 2017,-7,-9,1,-22,-6,4,13,4
Sat Mar 25 22:04:41 2017,-7,-46,-13,-9,-3,-2,4,-6
Sat Mar 25 22:04:41 2017,0,-1,80,18,-3,-5,-5,7
Sat Mar 25 22:04:41 2017,3,30,84,78,20,7,8,-1
Sat Mar 25 22:04:41 2017,2,0,-20,-13,-5,4,38,41
Sat Mar 25 22:04:41 2017,-1,10,3,2,2,0,6,10
Sat Mar 25 22:04:41 2017,18,36,115,93,27,16,10,8
Sat Mar 25 22:04:41 2017,2,-5,-55,-32,3,-4,-6,1
Sat Mar 25 22:04:41 2017,3,13,30,7,1,1,-2,-5
Sat Mar 25 22:04:41 2017,-22,19,-55,-43,-7,1,12,-8
Sat Mar 25 22:04:41 2017,8,-17,19,-4,-8,-3,-8,1
Sat Mar 25 22:04:42 2017,-20,-16,24,1,-1,-13,-43,-24
Sat Mar 25 22:04:42 2017,-1,-4,52,32,-2,-2,4,-2
Sat Mar 25 22:04:42 2017,13,7,17,24,9,4,2,8
Sat Mar 25 22:04:42 2017,-5,-50,-25,-1,0,0,-3,-4
Sat Mar 25 22:04:42 2017,7,23,44,12,-3,0,2,6
Sat Mar 25 22:04:42 2017,-3,24,51,45,-2,-6,-6,-4
Sat Mar 25 22:04:42 2017,-10,-16,-13,-4,1,1,4,2
Sat Mar 25 22:04:42 2017,-15,-4,-6,-4,-1,1,2,7
Sat Mar 25 22:04:42 2017,2,88,6,4,0,0,-2,4
Sat Mar 25 22:04:42 2017,-16,-100,-38,-15,-11,-15,-13,-33
Sat Mar 25 22:04:42 2017,7,-14,44,11,3,7,22,31
Sat Mar 25 22:04:42 2017,-20,0,-16,-31,-5,-1,3,-13
Sat Mar 25 22:04:42 2017,-30,-46,74,33,-14,-10,-2,-6
Sat Mar 25 22:04:42 2017,13,-14,-7,-2,-5,-5,-6,0
Sat Mar 25 22:04:42 2017,-5,5,18,10,4,3,13,5
Sat Mar 25 22:04:42 2017,-6,-54,-41,-40,-13,2,-31,-24
Sat Mar 25 22:04:42 2017,23,-18,41,27,15,5,17,6
