Time Stamp,C0,C1,C2,C3,C4,C5,C6,C7,Gx,Gy,Gz,Ax,Ay,Az,Active
Sun May 14 14:43:43 2017,-25,-16,-7,-4,-2,-17,-7,2,-5.625,3.3125,3.6875,-0.039551,0.806641,0.526367,1
Sun May 14 14:43:43 2017,-11,1,1,0,-16,21,-2,-7,-4,5.6875,2.5,-0.029297,0.813965,0.536133,1
Sun May 14 14:43:43 2017,-11,1,1,0,-16,21,-2,-7,-4,5.6875,2.5,-0.029297,0.813965,0.536133,1
Sun May 14 14:43:43 2017,18,-1,-8,-4,1,9,8,-4,-4,5.6875,2.5,-0.029297,0.813965,0.536133,1
Sun May 14 14:43:43 2017,-1,-13,-9,-3,-16,-37,-22,-11,-5.9375,7.5,1.0625,-0.024902,0.814941,0.576172,1
Sun May 14 14:43:43 2017,-1,-13,-9,-3,-16,-37,-22,-11,-5.9375,7.5,1.0625,-0.024902,0.814941,0.576172,1
Sun May 14 14:43:43 2017,-1,-13,-9,-3,-16,-37,-22,-11,-5.9375,7.5,1.0625,-0.024902,0.814941,0.576172,1
Sun May 14 14:43:43 2017,-9,-11,-7,-6,-6,-4,-2,-5,-10.4375,4.5,-1.125,-0.025879,0.774414,0.567871,1
Sun May 14 14:43:43 2017,-9,-11,-7,-6,-6,-4,-2,-5,-10.4375,4.5,-1.125,-0.025879,0.774414,0.567871,1
Sun May 14 14:43:43 2017,-9,-11,-7,-6,-6,-4,-2,-5,-10.4375,4.5,-1.125,-0.025879,0.774414,0.567871,1
Sun May 14 14:43:43 2017,-7,-25,-20,-6,-3,-1,-3,-4,-10.4375,4.5,-1.125,-0.025879,0.774414,0.567871,1
Sun May 14 14:43:43 2017,11,3,2,-4,-2,-1,4,1,-5.0625,4.6875,-1.25,-0.02832,0.771484,0.553223,1
Sun May 14 14:43:43 2017,11,3,2,-4,-2,-1,4,1,-5.0625,4.6875,-1.25,-0.02832,0.771484,0.553223,1
Sun May 14 14:43:43 2017,16,8,1,-2,1,4,5,-5,-5.0625,4.6875,-1.25,-0.02832,0.771484,0.553223,1
Sun May 14 14:43:43 2017,7,0,2,1,1,-5,5,-1,12.75,8.4375,0.25,-0.046387,0.724609,0.561035,1
Sun May 14 14:43:43 2017,7,0,2,1,1,-5,5,-1,12.75,8.4375,0.25,-0.046387,0.724609,0.561035,1
